

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:37:13 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,BATT.I-1 (volt) ,
917,1997-10-01,,     0.0,     0.0,    16.4,    23.8,     4.2,    14.6,   12.86,
917,1997-10-02,,     0.0,     0.0,    19.2,    22.6,    11.3,    18.3,   12.88,
917,1997-10-03,,     0.0,     0.1,     9.3,    21.0,     8.9,    15.0,   12.83,
917,1997-10-04,,     0.0,     0.1,     8.8,    13.4,     3.9,     9.1,   12.82,
917,1997-10-05,,     0.0,     0.2,     8.5,    14.4,     5.1,     9.6,   12.79,
917,1997-10-06,,     0.0,     0.4,     1.6,    11.5,     0.7,     6.5,   12.80,
917,1997-10-07,,     0.0,     0.4,     6.3,     9.8,     0.3,     6.7,   12.83,
917,1997-10-08,,     0.0,     0.5,     1.3,     6.4,     1.3,     4.2,   12.76,
917,1997-10-09,,     0.0,     0.5,    -3.8,     1.4,    -5.5,    -1.1,   12.77,
917,1997-10-10,,     0.1,     0.5,     4.0,     6.6,    -3.6,     2.0,   12.81,
917,1997-10-11,,     0.1,     0.5,     4.6,     9.8,    -0.3,     5.8,   12.83,
917,1997-10-12,,     0.1,     0.9,    -1.0,     4.5,    -1.0,     1.9,   12.75,
917,1997-10-13,,     0.3,     1.2,    -3.6,    -1.1,    -4.4,    -2.0,   12.73,
917,1997-10-14,,     0.3,     1.2,     4.4,     6.8,    -6.5,     0.7,   12.91,
917,1997-10-15,,     0.1,     1.2,    -0.1,     9.9,    -0.2,     6.0,   12.80,
917,1997-10-16,,     0.0,     1.2,    12.0,    14.4,    -1.3,     7.7,   12.89,
917,1997-10-17,,     0.0,     1.2,     5.3,    20.6,     5.1,    13.9,   12.92,
917,1997-10-18,,     0.0,     1.2,     3.2,    19.2,     2.7,    10.9,   12.87,
917,1997-10-19,,     0.0,     1.2,    -2.5,     5.2,    -2.5,     2.0,   12.75,
917,1997-10-20,,     0.0,     1.2,    -0.9,     7.4,    -3.7,     0.9,   12.80,
917,1997-10-21,,     0.0,     1.2,    -1.4,     7.0,    -1.6,     1.8,   12.79,
917,1997-10-22,,     0.0,     1.2,    -1.3,    11.2,    -2.7,     2.4,   12.79,
917,1997-10-23,,     0.0,     1.2,     2.0,    10.6,    -1.8,     4.4,   12.80,
917,1997-10-24,,     0.0,     1.2,    -3.7,     3.3,    -3.8,     0.5,   12.74,
917,1997-10-25,,     0.0,     1.2,    -6.5,    -2.0,    -6.5,    -3.8,   12.72,
917,1997-10-26,,     0.0,     1.2,     2.8,     3.6,    -6.8,    -0.8,   12.82,
917,1997-10-27,,     0.0,     1.2,     9.5,    11.3,     2.6,     7.1,   12.90,
917,1997-10-28,,     0.0,     1.2,     3.2,     9.6,     1.0,     6.4,   12.87,
917,1997-10-29,,     0.0,     1.2,     5.1,     5.5,    -3.0,     2.4,   12.82,
917,1997-10-30,,     0.0,     1.2,     3.6,    10.8,     3.6,     7.2,   12.80,
917,1997-10-31,,     0.0,     1.3,     4.8,    11.4,     2.5,     6.4,   12.78,
917,1997-11-01,,     0.0,     1.3,     4.6,     9.0,     3.3,     5.2,   12.76,
917,1997-11-02,,     0.0,     1.3,     1.3,     6.8,     1.3,     4.2,   12.84,
917,1997-11-03,,     0.0,     1.3,     2.1,     7.8,    -1.7,     3.1,   12.83,
917,1997-11-04,,     0.0,     1.3,     5.9,    11.4,     1.3,     8.5,   12.79,
917,1997-11-05,,     0.0,     1.5,    -1.1,     7.0,    -1.4,     3.8,   12.76,
917,1997-11-06,,     0.0,     1.5,     8.0,    12.8,    -1.1,     6.1,   12.85,
917,1997-11-07,,     0.0,     1.5,     3.1,    17.4,     2.6,     9.3,   12.88,
917,1997-11-08,,     0.2,     1.6,    -1.7,     5.0,    -1.7,     1.8,   12.74,
917,1997-11-09,,     0.0,     1.6,   -11.1,     2.6,   -11.1,    -3.7,   12.81,
917,1997-11-10,,     0.0,     1.6,   -12.4,     0.5,   -12.4,    -7.2,   12.76,
917,1997-11-11,,     0.0,     1.6,   -14.6,    -0.4,   -15.2,    -9.9,   12.72,
917,1997-11-12,,     0.0,     1.6,    -5.9,    -0.3,   -16.2,    -8.9,   12.73,
917,1997-11-13,,     0.0,     1.6,    -9.4,     4.0,    -9.4,    -1.4,   12.78,
917,1997-11-14,,     0.0,     1.6,   -16.9,    -2.8,   -16.9,    -9.9,   12.73,
917,1997-11-15,,     0.0,     1.6,   -17.2,    -3.4,   -19.2,   -13.2,   12.68,
917,1997-11-16,,     0.0,     1.6,    -5.5,     4.8,   -17.4,    -7.5,   12.72,
917,1997-11-17,,     0.0,     1.6,     0.1,     5.2,    -2.2,     0.7,   12.78,
