

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:11 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2011-10-01,,     0.0,     0.0,    10.0,    10.0,    27.1,     4.4,    16.4,       0,   13.10,   13.23,
917,2011-10-02,,     0.0,     0.0,    10.0,    10.0,    26.2,     8.0,    15.6,       0,   13.06,   13.20,
917,2011-10-03,,     0.0,     0.0,     7.4,     7.4,    23.0,     6.1,    13.0,       0,   12.76,   13.24,
917,2011-10-04,,     0.0,     0.0,    15.8,    15.8,    24.4,     7.4,    17.5,       0,   13.05,   13.19,
917,2011-10-05,,     0.0,     0.0,     7.0,     7.0,    23.2,     6.6,    15.4,       0,   12.99,   13.18,
917,2011-10-06,,     0.0,     0.0,     9.7,     9.7,    20.7,     5.3,    12.9,       0,   13.05,   13.22,
917,2011-10-07,,     0.0,     0.0,     8.2,     8.2,    10.8,     8.2,     9.4,       0,   12.75,   13.14,
917,2011-10-08,,     0.1,     0.6,     4.8,     4.8,     8.2,     4.5,     6.0,       1,   12.75,   12.87,
917,2011-10-09,,     0.0,     0.6,     5.4,     5.4,    10.1,    -0.3,     5.0,       0,   13.16,   13.36,
917,2011-10-10,,     0.0,     0.6,    -0.5,    -0.5,    13.0,    -0.6,     6.1,       0,   13.15,   13.36,
917,2011-10-11,,     0.0,     1.0,     9.4,     9.4,    14.5,    -1.5,     6.4,       0,   13.19,   13.38,
917,2011-10-12,,     0.0,     1.0,     6.4,     6.4,    12.7,     6.2,     9.5,       0,   13.15,   13.33,
917,2011-10-13,,     0.0,     1.0,     5.8,     5.8,    11.6,     4.7,     7.4,       0,   13.19,   13.35,
917,2011-10-14,,     0.0,     1.0,    -3.0,    -3.0,     8.4,    -3.0,     3.7,       0,   13.20,   13.39,
917,2011-10-15,,     0.0,     1.0,     3.4,     3.4,     8.0,    -3.9,     2.5,       0,   13.27,   13.43,
917,2011-10-16,,     0.0,     1.0,    -3.3,    -3.3,     6.7,    -3.3,     2.6,       0,   13.26,   13.44,
917,2011-10-17,,     0.0,     1.0,    -3.7,    -3.7,     7.4,    -5.6,     0.4,       0,   13.32,   13.48,
917,2011-10-18,,     0.0,     1.0,     4.4,     4.4,     9.1,    -4.4,     2.9,       0,   13.33,   13.48,
917,2011-10-19,,     0.0,     1.0,     0.2,     0.2,    11.1,    -1.9,     3.9,       0,   13.26,   13.43,
917,2011-10-20,,     0.0,     1.3,     8.9,     8.9,    17.0,    -0.3,     7.8,       0,   13.24,   13.38,
917,2011-10-21,,     0.0,     1.3,     8.1,     8.1,    11.7,     7.4,     9.2,       0,   13.22,   13.36,
917,2011-10-22,,     0.0,     1.3,     8.8,     8.8,    11.2,    -0.2,     6.3,       0,   13.25,   13.39,
917,2011-10-23,,     0.0,     1.3,     7.8,     7.8,    12.8,     7.2,     9.6,       0,   13.15,   13.33,
917,2011-10-24,,     0.0,     1.3,     1.2,     1.2,     9.9,    -0.9,     5.3,       0,   13.15,   13.37,
917,2011-10-25,,     0.0,     1.3,     0.0,     0.0,     9.7,     0.0,     3.9,       0,   13.10,   13.41,
917,2011-10-26,,     0.0,     1.3,    -4.2,    -4.2,     4.6,    -5.0,    -0.3,       0,   13.30,   13.48,
917,2011-10-27,,     0.0,     1.3,     3.2,     3.2,     4.3,    -6.3,     0.5,       0,   13.34,   13.51,
917,2011-10-28,,     0.0,     1.3,    -5.4,    -5.4,     5.4,    -5.4,     1.7,       0,   13.28,   13.48,
917,2011-10-29,,     0.0,     1.3,     9.6,     9.6,    10.1,    -7.5,     2.6,       0,   13.36,   13.49,
917,2011-10-30,,     0.0,     1.3,     3.4,     3.4,     9.7,     1.8,     4.5,       0,   13.27,   13.45,
917,2011-10-31,,     0.0,     1.3,    10.2,    10.2,    11.8,     0.7,     7.7,       0,   13.27,   13.41,
917,2011-11-01,,     0.0,     1.3,     1.1,     1.1,    10.4,     0.1,     4.8,       0,   13.11,   13.41,
917,2011-11-02,,     0.0,     1.3,    -2.2,    -2.2,     2.7,    -5.6,    -0.8,       0,   13.31,   13.50,
917,2011-11-03,,     0.0,     1.3,     6.1,     6.1,     6.3,    -2.3,     2.9,       0,   13.32,   13.49,
917,2011-11-04,,     0.0,     1.3,    -2.1,    -2.1,    10.4,    -2.4,     4.7,       0,   13.24,   13.43,
917,2011-11-05,,     0.0,     1.3,    -1.6,    -1.6,     8.8,    -3.7,     0.1,       0,   13.32,   13.50,
917,2011-11-06,,     0.0,     1.3,    -4.8,    -4.8,    -1.6,    -4.8,    -3.3,       0,   13.15,   13.40,
917,2011-11-07,,     0.0,     1.3,    -5.3,    -5.3,    -0.1,    -6.3,    -3.6,       0,   13.40,   13.56,
917,2011-11-08,,     0.1,     1.3,    -0.1,    -0.1,     2.0,   -10.1,    -3.0,       1,   13.40,   13.57,
917,2011-11-09,,     0.0,     1.3,    -0.8,    -0.8,     3.8,    -3.7,     0.1,       0,   13.37,   13.53,
917,2011-11-10,,     0.2,     1.4,     4.3,     4.3,     4.7,    -5.9,     0.8,       1,   13.36,   13.53,
917,2011-11-11,,     0.2,     1.4,     4.4,     4.4,     8.4,     4.2,     6.0,       1,   13.28,   13.46,
917,2011-11-12,,     0.0,     1.4,     6.5,     6.5,     9.8,     3.9,     7.4,       0,   13.15,   13.38,
917,2011-11-13,,     0.0,     1.4,    -0.2,    -0.2,     6.7,    -0.6,     1.4,       0,   12.71,   12.95,
917,2011-11-14,,     0.0,     1.4,    -2.3,    -2.3,     3.5,    -2.4,     0.6,       0,   13.01,   13.32,
917,2011-11-15,,     0.2,     1.5,    -6.7,    -6.7,     1.5,    -6.7,    -2.4,       2,   13.26,   13.48,
