

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:30 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATX.D-1 (volt) ,BATX.D-2 (volt) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATN.D-1 (volt) ,BATN.D-2 (volt) ,
917,2019-10-01,,     0.8,     0.0,   -10.5,   -10.5,     0.4,   -10.6,    -2.5,       3,-99.9,-99.9,   12.51,   12.95,-99.9,-99.9,
917,2019-10-02,,     0.7,     0.1,     0.2,     0.2,     7.8,   -12.4,    -1.9,       2,-99.9,-99.9,   12.51,   13.11,-99.9,-99.9,
917,2019-10-03,,     0.6,     0.1,    -3.3,    -3.3,     8.0,    -3.3,     1.4,       2,-99.9,-99.9,   12.42,   13.11,-99.9,-99.9,
917,2019-10-04,,     0.4,     0.1,     2.7,     2.7,    11.6,    -5.9,     3.4,       2,-99.9,-99.9,   12.51,   13.12,-99.9,-99.9,
917,2019-10-05,,     0.2,     0.1,     3.6,     3.6,    13.1,     0.0,     5.2,       1,-99.9,-99.9,   12.52,   13.10,-99.9,-99.9,
917,2019-10-06,,     0.0,     0.1,     3.2,     3.2,     8.3,     1.3,     4.5,       0,-99.9,-99.9,   12.49,   13.12,-99.9,-99.9,
917,2019-10-07,,     0.0,     0.1,     6.1,     6.1,    10.7,     1.3,     5.6,       0,-99.9,-99.9,   12.45,   13.09,-99.9,-99.9,
917,2019-10-08,,     0.0,     0.1,    13.2,    13.2,    14.0,     6.1,    11.7,       0,-99.9,-99.9,   12.51,   13.03,-99.9,-99.9,
917,2019-10-09,,     0.3,     0.4,    -5.5,    -5.5,    13.2,    -5.5,     3.1,       1,-99.9,-99.9,   12.42,   13.02,-99.9,-99.9,
917,2019-10-10,,     0.3,     0.6,   -14.7,   -14.7,    -3.9,   -14.7,    -6.9,       1,-99.9,-99.9,   12.51,   13.20,-99.9,-99.9,
917,2019-10-11,,     0.3,     0.8,    -4.4,    -4.4,    -0.3,-99.9,    -8.2,       1,-99.9,-99.9,   12.48,   13.23,-99.9,-99.9,
