

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:32 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATX.D-1 (volt) ,BATX.D-2 (volt) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATN.D-1 (volt) ,BATN.D-2 (volt) ,
917,2020-10-01,,     0.0,     0.0,    -1.4,    12.2,    -2.1,     6.2,       0,   14.61,   14.42,   12.60,   12.83,   12.34,   12.70,
917,2020-10-02,,     0.0,     0.0,     2.4,    15.6,    -1.4,     6.2,       0,   14.87,   14.71,   12.64,   12.84,   12.30,   12.71,
917,2020-10-03,,     0.0,     0.0,     2.8,    16.2,     1.8,     9.1,       0,   14.78,   14.64,   12.56,   12.81,   12.32,   12.71,
917,2020-10-04,,     0.0,     0.0,     3.8,    18.0,     0.3,     8.0,       0,   14.82,   14.66,   12.49,   12.81,   12.31,   12.69,
917,2020-10-05,,     0.0,     0.0,    13.9,    22.2,     3.1,    14.1,       0,   14.73,   14.58,   12.57,   12.81,   12.30,   12.70,
917,2020-10-06,,     0.0,     0.0,    15.6,    18.1,     8.4,    14.0,       0,   14.54,   14.43,   12.57,   12.81,   12.36,   12.71,
917,2020-10-07,,     0.0,     0.0,     5.1,    21.3,     5.0,    14.5,       0,   14.46,   14.37,   12.54,   12.79,   12.37,   12.72,
917,2020-10-08,,     0.0,     0.0,     7.5,    16.2,     2.6,    10.4,       0,   14.76,   14.59,   12.54,   12.81,   12.33,   12.69,
917,2020-10-09,,     0.0,     0.0,    12.6,    21.7,     5.3,    14.6,       0,   14.64,   14.48,   12.54,   12.80,   12.34,   12.71,
917,2020-10-10,,     0.0,     0.0,     6.7,    18.0,     3.2,    10.4,       0,   14.69,   14.54,   12.57,   12.80,   12.35,   12.69,
917,2020-10-11,,     0.0,     0.0,     7.8,    22.4,     6.7,    14.3,       0,   14.64,   14.49,   12.52,   12.79,   12.35,   12.70,
917,2020-10-12,,     0.0,     0.0,     5.2,     9.3,     3.2,     5.9,       0,   14.69,   14.52,   12.63,   12.86,   12.34,   12.67,
917,2020-10-13,,     0.0,     0.1,     0.3,     9.5,     0.3,     4.6,       0,   14.70,   14.55,   12.49,   12.81,   12.35,   12.73,
917,2020-10-14,,     0.0,     0.4,     4.5,     8.3,    -0.4,     3.9,       0,   14.72,   14.59,   12.52,   12.82,   12.28,   12.67,
917,2020-10-15,,     0.3,     1.3,     0.5,     4.5,    -1.4,     1.0,       2,   14.75,   14.66,   12.62,   12.91,   12.29,   12.66,
917,2020-10-16,,     0.2,     1.4,    -0.6,     3.2,    -1.8,     0.1,       1,   14.87,   14.73,   12.64,   12.89,   12.32,   12.74,
