

Montana (MST) SCAN Site Fort Assiniboine #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:50:13 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-2 (degC) ,TAVG.D-2 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-10 (degC) ,STO.I-1:-12 (degC) ,STO.I-1:-16 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-80 (degC) ,
2019,1997-10-01,,-99.9,     0.0,    18.5,-99.9,-99.9,-99.9,     5.4,     9.7,    21.3,    16.0,    20.6,    17.6,    17.6,    17.8,    15.0,    14.1,    13.6,    16.4,    15.4,    13.2,
2019,1997-10-02,,-99.9,     0.0,    25.0,-99.9,-99.9,-99.9,     5.3,     9.8,    21.3,    16.0,    21.2,    18.9,    18.6,    18.3,    15.7,    14.5,    13.5,    16.7,    15.3,    13.1,
2019,1997-10-03,,-99.9,     0.0,     8.8,-99.9,-99.9,-99.9,     5.0,     9.4,    21.2,    16.1,    20.5,    16.0,    17.0,    18.1,    16.2,    14.9,    13.6,    17.0,    15.4,    13.1,
2019,1997-10-04,,-99.9,     0.0,    11.0,-99.9,-99.9,-99.9,     4.7,     9.3,    20.9,    15.9,    20.9,    15.3,    15.9,    16.8,    15.1,    14.7,    13.7,    16.8,    15.4,    13.0,
2019,1997-10-05,,-99.9,     0.0,     8.8,-99.9,-99.9,-99.9,     4.6,     9.0,    20.7,    15.9,    20.6,    13.6,    14.5,    15.7,    14.3,    14.3,    13.7,    16.4,    15.4,    13.0,
2019,1997-10-06,,-99.9,     0.0,     1.5,-99.9,-99.9,-99.9,     4.4,     8.7,    20.7,    15.9,    20.6,    11.3,    12.6,    14.2,    13.3,    13.8,    13.6,    15.8,    15.3,    13.0,
2019,1997-10-07,,-99.9,     0.0,     9.5,-99.9,-99.9,-99.9,     4.6,     8.9,    20.6,    15.7,    21.2,    13.1,    13.5,    14.3,    12.8,    13.2,    13.5,    15.3,    15.2,    13.0,
2019,1997-10-08,,-99.9,     0.0,     3.8,-99.9,-99.9,-99.9,     4.3,     8.6,    20.2,    15.7,    20.8,    11.2,    11.9,    13.1,    12.1,    12.8,    13.3,    15.0,    15.0,    13.0,
2019,1997-10-09,,-99.9,     0.0,    -3.3,-99.9,-99.9,-99.9,     4.3,     8.4,    20.1,    15.5,-99.9,     8.1,    10.0,    12.2,    11.5,    12.5,    13.3,    14.4,    14.7,    13.2,
2019,1997-10-10,,-99.9,     0.1,     4.6,-99.9,-99.9,-99.9,     4.5,     8.4,    20.1,    15.4,    20.7,    10.0,    10.9,    12.1,    10.5,    11.6,    12.9,    13.8,    14.6,    12.9,
