

Montana (MST) SCAN Site Fort Assiniboine #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:50:32 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-80 (degC) ,
2019,2004-10-01,,-99.9,-99.9,    -3.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    14.3,    18.1,    22.7,    15.9,    19.8,    12.0,    13.0,    14.3,    15.1,    14.5,    13.0,
2019,2004-10-02,,-99.9,-99.9,     3.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    13.7,    17.6,    22.5,    15.6,    19.8,    10.2,    11.1,    12.6,    14.4,    14.5,    13.0,
2019,2004-10-03,,-99.9,-99.9,     4.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    13.2,    17.4,    22.3,    15.6,    19.8,    11.4,    12.1,    13.0,    13.9,    14.3,    13.0,
2019,2004-10-04,,-99.9,-99.9,     1.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    12.8,    16.9,    22.5,    15.6,    19.7,    11.2,    11.9,    13.0,    13.8,    14.1,    12.9,
2019,2004-10-05,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2019,2004-10-06,,     0.0,    0.00,    10.2,    28.5,-99.9,-99.9,-99.9,-99.9,-99.9,    0.05,    11.0,    13.9,    20.6,    20.2,    19.1,    11.0,    12.1,    12.9,    13.1,    13.5,-99.9,
2019,2004-10-07,,     0.0,    0.00,    12.5,    29.9,-99.9,     7.8,-99.9,    17.9,-99.9,    0.00,    11.1,    14.0,    21.1,    21.9,    19.5,    13.5,    13.7,    13.5,    12.9,    13.4,-99.9,
2019,2004-10-08,,     0.0,    0.03,     5.4,    23.7,-99.9,     2.5,-99.9,    12.5,-99.9,    0.03,    10.8,    13.5,    20.9,    22.2,    19.5,     9.9,    11.7,    12.7,    13.0,    13.3,-99.9,
2019,2004-10-09,,     0.1,    0.03,    14.4,    26.5,-99.9,    -0.5,-99.9,    13.4,-99.9,    0.00,    10.9,    13.6,    21.1,    22.2,    19.4,    12.0,    12.5,    12.6,    12.7,    13.3,-99.9,
2019,2004-10-10,,     0.1,    0.03,     5.8,    30.0,-99.9,     4.3,-99.9,    14.0,-99.9,    0.00,    10.7,    13.4,    21.1,    22.2,    19.6,    12.0,    13.1,    13.1,    12.7,    13.2,-99.9,
2019,2004-10-11,,     0.1,    0.03,     6.4,    16.8,-99.9,     2.2,-99.9,     9.6,-99.9,    0.00,    10.1,    13.3,    20.9,    22.2,    19.1,    10.1,    11.6,    12.5,    12.7,    13.2,-99.9,
2019,2004-10-12,,     0.1,    0.03,    10.8,    19.1,-99.9,    -0.7,-99.9,     9.9,-99.9,    0.00,    10.0,    12.9,    20.9,    22.5,    19.6,    10.6,    11.4,    11.8,    12.5,    13.1,-99.9,
2019,2004-10-13,,     0.1,    0.03,     3.0,    18.5,-99.9,     3.0,-99.9,    11.0,-99.9,    0.00,     9.5,    12.6,    20.9,    22.4,    19.6,     9.0,    10.9,    11.9,    12.4,    13.1,-99.9,
2019,2004-10-14,,     0.1,    0.03,    12.8,    18.3,-99.9,    -2.2,-99.9,     9.7,-99.9,    0.00,     9.8,    12.7,    20.7,    22.4,    19.4,    11.7,    11.8,    11.6,    12.1,    12.9,-99.9,
